,company_names,rating_new,employer_size,industry,review,salaries,jobs,location
2560,Microchip Technology,4.0,10000+ Employees,Electronics Manufacturing,2.1T,604,335,60 office locations
2561,Freelance,4.2,1 to 50 Employees,N/A,2.4T,658,6,"Bengaluru, KA"
2562,Keysight Technologies,4.0,10000+ Employees,Electronics Manufacturing,2.2T,490,642,26 office locations
2563,udaan.com,3.5,1001 to 5000 Employees,Internet & Web Services,1.2T,1.7T,4,"1090 G, 18th Cross, 14th Main, Sector 3, HSR Layout, Bengaluru, Karnataka 560102 "
2564,Diebold Nixdorf,3.5,10000+ Employees,Information Technology Support Services,2.8T,491,340,28 office locations
2565,Bharat Heavy Electricals,3.9,10000+ Employees,Electronics Manufacturing,1.5T,1.3T,--,"Headquarters in New Delhi, India"
2566,FICO,4.0,1001 to 5000 Employees,Computer Hardware Development,1.6T,823,92,21 office locations
2567,Merck,4.1,10000+ Employees,Biotech & Pharmaceuticals,6.9T,173,366,126 East Lincoln Avenue 
2568,National Instruments,3.9,5001 to 10000 Employees,Electronics Manufacturing,2.6T,422,101,19 office locations
2569,Colt Technology Services,4.5,5001 to 10000 Employees,Telecommunications Services,1.7T,620,60,16 office locations
2570,Futures First,4.1,201 to 500 Employees,Research & Development,869,1T,5,"Headquarters in Gurgaon, India"
2571,Square Yards,3.6,1001 to 5000 Employees,Real Estate,1.7T,1.1T,51,3 office locations
2572,First American Financial Corporation,3.8,10000+ Employees,Insurance Carriers,1.9T,672,158,31 office locations
2573,eTeam,4.0,5001 to 10000 Employees,"Staffing, Recruitment & Subcontracting",2.3T,666,942,24 office locations
2574,Mazars,3.7,10000+ Employees,Accounting & Tax,4.6T,241,2.3T,40 office locations
2575,Wns Global Services,3.5,10000+ Employees,N/A,1.4T,1.6T,--,"Headquarters in Gurgaon, India"
2576,Honda,4.0,10000+ Employees,Transportation Equipment Manufacturing,4T,364,2.5T,20 office locations
2577,Times Internet,3.9,1001 to 5000 Employees,Internet & Web Services,1.3T,1.4T,10,8 office locations
2578,Mastech Digital,4.2,1001 to 5000 Employees,Information Technology Support Services,756,207,9,13 office locations
2579,CARS24.com,4.2,1001 to 5000 Employees,Internet & Web Services,1.3T,1.2T,32,3 office locations
2580,Cipla,3.9,10000+ Employees,Biotech & Pharmaceuticals,1.4T,1.3T,60,"Headquarters in Mumbai, India"
2581,XYZ,3.8,1 to 50 Employees,N/A,1.1T,1.4T,2,"Headquarters in Los Angeles, United States"
2582,Agilent Technologies,4.1,10000+ Employees,Biotech & Pharmaceuticals,2.7T,370,158,28 office locations
2583,Tiger Analytics,4.0,1001 to 5000 Employees,Business Consulting,1T,1.5T,87,"Headquarters in Santa Clara, United States"
2584,D. E. Shaw India,4.1,501 to 1000 Employees,Investment & Asset Management,803,1.1T,--,"Headquarters in Hyderābād, India"
2585,Jaro Education,4.4,501 to 1000 Employees,Education Support & Training Services,1.4T,877,12,12 office locations
2586,Atlas Copco,4.2,10000+ Employees,Machinery Manufacturing,2.2T,471,987,23 office locations
2587,Embibe,4.2,501 to 1000 Employees,Education Support & Training Services,1.4T,1.1T,3,"Diamond District,  No. 150, 1st Floor, Tower B, HAL Old Airport Rd, Kodihalli,  Bengaluru, Karnataka 560008 "
2588,Arcadis,4.1,10000+ Employees,Construction,4.2T,275,1.3T,25 office locations
2589,LSEG (London Stock Exchange Group),3.9,10000+ Employees,Stock Exchanges,2.1T,565,820,13 office locations
2590,Perficient,3.9,5001 to 10000 Employees,Information Technology Support Services,2.1T,429,140,20 office locations
2591,XYZ,3.7,51 to 200 Employees,Advertising & Public Relations,1T,1.3T,--,"San Francisco, CA"
2592,Providence,3.6,501 to 1000 Employees,Healthcare Services & Hospitals,5.8T,167,5.2T,26 office locations
2593,CTS,3.8,201 to 500 Employees,Business Consulting,1.3T,1.3T,166,"Headquarters in Eysines, France"
2594,Vestas Wind Systems,3.9,10000+ Employees,Electronics Manufacturing,2.3T,550,1T,25 office locations
2595,PPD,3.9,10000+ Employees,Biotech & Pharmaceuticals,4.4T,210,16,26 office locations
2596,Toshiba,3.6,1001 to 5000 Employees,Machinery Manufacturing,2.1T,617,510,2 office locations
2597,Hilti Group,4.1,10000+ Employees,Construction,2.8T,409,132,25 office locations
2598,Ashok Leyland,4.1,10000+ Employees,Transportation Equipment Manufacturing,1.3T,1.3T,--,"Headquarters in Chennai, India"
2599,Hitachi,3.9,10000+ Employees,Enterprise Software & Network Solutions,2.4T,540,8.4T,20 office locations
2600,Tesla,3.6,10000+ Employees,Transportation Equipment Manufacturing,10.4T,116,6.2T,16 office locations
2601,Mars,4.3,10000+ Employees,Food & Beverage Manufacturing,5.4T,171,1.4T,23 office locations
2602,Bosch Global Software Technologies,4.1,10000+ Employees,Software Development,1.1T,1.3T,--,"Headquarters in Bengaluru, India"
2603,Bitwise,4.0,1001 to 5000 Employees,Information Technology Support Services,1.1T,755,1,2 office locations
2604,Lam Research,4.0,10000+ Employees,Electronics Manufacturing,2.1T,395,304,10 office locations
2605,Bajaj Auto,3.7,10000+ Employees,Transportation Equipment Manufacturing,1.1T,1.2T,115,"Old Mumbai-Pune Highway, Akurdi "
2606,Chetu,3.8,1001 to 5000 Employees,Computer Hardware Development,1.5T,968,10,14 office locations
2607,Marvell Technology,4.2,5001 to 10000 Employees,Computer Hardware Development,2T,382,167,27 office locations
2608,HCL Infosystems,3.9,5001 to 10000 Employees,Computer Hardware Development,1.5T,1.1T,2.5T,"Singapore, "
2609,Ocwen Financial,3.7,1001 to 5000 Employees,Financial Transaction Processing,1.5T,895,15,8 office locations
2610,Patni Computer Systems,4.1,5001 to 10000 Employees,Information Technology Support Services,491,283,--,6 office locations
2611,American Airlines,3.7,10000+ Employees,"Airlines, Airports & Air Transportation",8.1T,168,111,30 office locations
2612,WeWork,3.6,1001 to 5000 Employees,Real Estate,3.5T,249,143,86 office locations
2613,TO THE NEW,4.0,1001 to 5000 Employees,Information Technology Support Services,1.1T,1.1T,14,5 office locations
2614,Fluor,4.0,10000+ Employees,Construction,3.2T,375,1.1T,33 office locations
2615,Accor,4.0,10000+ Employees,Hotels & Resorts,3.8T,317,3.4T,25 office locations
2616,Technicolor,3.8,10000+ Employees,Film Production,1.7T,836,83,25 office locations
2617,Genesys,4.1,5001 to 10000 Employees,Enterprise Software & Network Solutions,2.6T,381,148,52 office locations
2618,Safran,3.9,10000+ Employees,Aerospace & Defence,4.9T,219,3.4T,30 office locations
2619,EYGBS (India),3.7,Unknown,N/A,1T,1.6T,--,"Headquarters in Bengaluru, India"
2620,Whole Foods Market,3.5,10000+ Employees,Grocery Stores,19.6T,102,2T,"Headquarters in Austin, United States"
2621,Grab,4.1,5001 to 10000 Employees,Internet & Web Services,4.1T,249,5,11 office locations
2622,AXA XL,3.9,5001 to 10000 Employees,Insurance Carriers,1.6T,755,282,19 office locations
2623,Kearney,4.2,5001 to 10000 Employees,Business Consulting,2.3T,365,3,57 office locations
2624,GE Aerospace,3.9,1001 to 5000 Employees,Aerospace & Defence,3.9T,273,11,33 office locations
2625,bp,4.0,10000+ Employees,Energy & Utilities,6.9T,129,1.2T,26 office locations
2626,DHL Express,3.9,10000+ Employees,Shipping & Trucking,4.8T,259,10,27 office locations
2627,Enterprise,3.6,10000+ Employees,Car & Truck Rental,25.7T,72,709,"Headquarters in Saint Louis, United States"
2628,Bharat Petroleum,3.7,10000+ Employees,Energy & Utilities,1.2T,1.3T,--,"Headquarters in Mumbai, India"
2629,Freelancer,4.2,501 to 1000 Employees,HR Consulting,16.3T,6.6T,19,16 office locations
2630,Publicis Sapient,3.7,10000+ Employees,Business Consulting,10T,7.8T,872,55 office locations
2631,Robert Bosch,4.1,10000+ Employees,Computer Hardware Development,16.4T,4.6T,71,33 office locations
2632,ZS Associates,3.7,10000+ Employees,Business Consulting,7.6T,8.9T,116,36 office locations
2633,McDonald's,3.6,10000+ Employees,Restaurants & Cafes,1.4L,718,77.8T,2 office locations
2634,IQVIA,3.9,10000+ Employees,Biotech & Pharmaceuticals,14T,4.4T,1.5T,2 office locations
2635,Amdocs,3.9,10000+ Employees,Enterprise Software & Network Solutions,11.5T,7.4T,279,39 office locations
2636,FIS,3.7,10000+ Employees,Financial Transaction Processing,12.1T,5.6T,1T,62 office locations
2637,Thomson Reuters,4.1,10000+ Employees,Enterprise Software & Network Solutions,16T,3.1T,713,17 office locations
2638,Apple,4.3,10000+ Employees,Computer Hardware Development,42T,1.3T,5T,25 office locations
2639,Software AG,4.2,501 to 1000 Employees,Software Development,1.3T,598,143,58 office locations
2640,Gap,3.7,10000+ Employees,"Department, Clothing & Shoe Stores",9.5T,110,849,11 office locations
2641,Ivy,4.0,1001 to 5000 Employees,Information Technology Support Services,967,1.1T,83,"Divyasree Omega, 5th Floor, B- Block, Hitech City Road, Kondapur "
2642,ValueMomentum,3.6,1001 to 5000 Employees,Information Technology Support Services,887,838,99,2 office locations
2643,ICICI Securities,3.7,1001 to 5000 Employees,Investment & Asset Management,1.2T,1.2T,20,"Headquarters in Mumbai, India"
2644,Mott MacDonald,4.1,10000+ Employees,Architectural & Engineering Services,2.6T,328,163,26 office locations
2645,IDEMIA,4.0,10000+ Employees,Enterprise Software & Network Solutions,1.8T,428,109,11 office locations
2646,Best Buy,3.6,10000+ Employees,Consumer Electronics & Appliances Stores,37.9T,51,1.3T,8 office locations
2647,Magna International,3.8,10000+ Employees,Transportation Equipment Manufacturing,3.7T,272,1.7T,136 office locations
2648,Linde,3.7,10000+ Employees,Chemical Manufacturing,2.5T,372,1.3T,5015 Spectrum Way Suite 500  
2649,PhonePe,4.1,5001 to 10000 Employees,Internet & Web Services,902,1.3T,143,"Phonepe Private Limited Office-2, Floor 4,5,6,7, Wing A, Block A, Salarpuria Softzone, Service Road, Green Glen Layout, Bellandur, Karnataka-KA, "
2650,Edelman,3.7,5001 to 10000 Employees,Advertising & Public Relations,3.8T,236,267,61 office locations
2651,Media.net,4.1,501 to 1000 Employees,Internet & Web Services,829,1.2T,--,3 office locations
2652,Volkswagen Group,4.1,Unknown,Transportation Equipment Manufacturing,4.4T,231,1.1T,26 office locations
2653,Syngenta,4.3,10000+ Employees,Crop Production,3.1T,307,498,30 office locations
2654,Toppr.com,3.6,1001 to 5000 Employees,Primary & Secondary Schools,1.2T,1.1T,--,16 office locations
2655,Nucleus Software Exports,3.8,1001 to 5000 Employees,Computer Hardware Development,1.3T,1.1T,26,3 office locations
2656,T-Mobile,3.7,10000+ Employees,Telecommunications Services,20.9T,72,4T,"Bellevue, WA"
2657,dunnhumby,4.3,1001 to 5000 Employees,Business Consulting,1.6T,614,62,11 office locations
2658,IKS Health,3.5,10000+ Employees,Healthcare Services & Hospitals,1T,1T,2,7 office locations
2659,Tredence,4.1,1001 to 5000 Employees,Business Consulting,865,1.1T,87,6 office locations
2660,Cactus Communications,3.8,1001 to 5000 Employees,Research & Development,1.5T,808,31,8 office locations
2661,Meesho,3.5,1001 to 5000 Employees,Internet & Web Services,907,1.2T,99,"Fashnear Technologies Private Limited, Helios Business Park, Wing E, 3rd Floor, Kadubeesanahalli, Kariyammana Agrahara Village, Varthur Hobli, Bengaluru East Taluk, Bengaluru "
2662,DICK'S Sporting Goods,3.7,10000+ Employees,Sporting Goods Stores,10.6T,90,2.2T,7 office locations
2663,Seagate Technology,3.6,10000+ Employees,Computer Hardware Development,3T,289,217,13 office locations
2664,Lenskart Solutions,3.9,10000+ Employees,Other Retail Shops,1.4T,1.1T,113,5 office locations
2665,XPO,3.6,10000+ Employees,Shipping & Trucking,6T,187,982,25 office locations
2666,Santander,3.9,10000+ Employees,Banking & Lending,19.1T,87,2.1T,42 office locations
2667,Conneqt Business Solutions,4.1,10000+ Employees,Information Technology Support Services,1.1T,986,33,"Krian 2nd Floor, 1/9, Hesur Main Marg, Above Badget Mart, Muneswara Nagar, Roopena Agrahara, HSR Layout "
2668,Rolls-Royce,3.9,10000+ Employees,Aerospace & Defence,3.9T,183,289,36 office locations
2669,Airbnb,4.3,5001 to 10000 Employees,Internet & Web Services,2.6T,265,25,20 office locations
2670,Trane Technologies,3.9,10000+ Employees,Machinery Manufacturing,2.7T,313,1.8T,25 office locations
2671,Visteon,3.7,10000+ Employees,Transportation Equipment Manufacturing,1.6T,727,47,27 office locations
2672,Invesco,3.8,5001 to 10000 Employees,Investment & Asset Management,1.8T,433,155,15 office locations
2673,Motorola Mobility,4.2,1001 to 5000 Employees,Electronics Manufacturing,2.9T,309,1,11 office locations
2674,DHL,3.8,10000+ Employees,Shipping & Trucking,4.9T,173,9.5T,2 office locations
2675,Bristlecone,4.0,1001 to 5000 Employees,Information Technology Support Services,1.1T,891,10,9 office locations
2676,IndiGo,3.5,10000+ Employees,"Airlines, Airports & Air Transportation",1.1T,1.1T,4,"Headquarters in Gurgaon, India"
2677,Ugam,3.7,1001 to 5000 Employees,Information Technology Support Services,1T,1.1T,--,"Headquarters in Mumbai, India"
2678,NTT DATA Business Solutions,3.9,10000+ Employees,Information Technology Support Services,1T,432,450,90 office locations
2679,Victoria's Secret,3.5,10000+ Employees,"Department, Clothing & Shoe Stores",12.2T,108,1T,"Reynoldsburg, OH"
2680,Oil and Natural Gas,4.3,10000+ Employees,Energy & Utilities,1.2T,959,--,"Headquarters in New Delhi, India"
2681,Renault Group,3.8,10000+ Employees,Machinery Manufacturing,5.5T,169,686,54 office locations
2682,Einfochips,3.6,1001 to 5000 Employees,Information Technology Support Services,1.1T,926,7,3 office locations
2683,Aakash Educational Services,3.6,5001 to 10000 Employees,Education Support & Training Services,1T,1T,6,130 office locations
2684,Pizza Hut,3.5,10000+ Employees,Restaurants & Cafes,13.1T,101,29.8T,"Headquarters in Plano, United States"
2685,Mastek,3.6,1001 to 5000 Employees,Information Technology Support Services,1.2T,993,57,5 office locations
2686,QBurst,4.5,1001 to 5000 Employees,Information Technology Support Services,945,1.2T,7,6 office locations
2687,Dow,4.1,10000+ Employees,Chemical Manufacturing,4.3T,184,296,43 office locations
2688,Practo Technologies,3.6,501 to 1000 Employees,Internet & Web Services,1.1T,1.1T,21,9 office locations
2689,LanceSoft,4.1,1001 to 5000 Employees,HR Consulting,1.5T,492,478,30 office locations
2690,DISYS,4.0,10000+ Employees,Information Technology Support Services,1.4T,310,101,43 office locations
2691,TSYS|Total System Services,3.6,10000+ Employees,Financial Transaction Processing,2T,373,5,29 office locations
2692,Amazon Development Centre,3.9,501 to 1000 Employees,N/A,993,1.3T,--,"Headquarters in Pune, India"
2693,Razorpay,3.8,501 to 1000 Employees,Internet & Web Services,720,1.2T,47,4 office locations
2694,Collegedunia,3.6,201 to 500 Employees,Internet & Web Services,1.2T,1T,20,5 office locations
2695,PK,3.9,1001 to 5000 Employees,Information Technology Support Services,961,486,--,21 office locations
2696,Zynga,4.3,1001 to 5000 Employees,Video Game Publishing,1.3T,510,53,8 office locations
2697,PUMA,4.0,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",2.2T,285,591,41 office locations
2698,Signify,3.6,10000+ Employees,Consumer Product Manufacturing,1.7T,384,327,9 office locations
2699,Aptean,3.8,1001 to 5000 Employees,Computer Hardware Development,1.1T,753,85,10 office locations
2700,Experis,3.6,5001 to 10000 Employees,HR Consulting,3T,219,3.4T,25 office locations
2701,GE Vernova,3.8,10000+ Employees,Energy & Utilities,2.2T,377,640,33 office locations
2702,Iron Mountain,3.6,10000+ Employees,Information Technology Support Services,2.9T,259,414,33 office locations
2703,Gojek,4.2,1001 to 5000 Employees,Internet & Web Services,1.4T,608,15,4 office locations
2704,Deutsche Telekom,4.1,10000+ Employees,Telecommunications Services,2.1T,289,3.1T,21 office locations
2705,CommScope,3.5,10000+ Employees,Telecommunications Services,1.6T,428,110,99 office locations
2706,Mr. Cooper,3.5,5001 to 10000 Employees,Banking & Lending,1.6T,412,99,3 office locations
2707,Edelweiss Financial Services,3.7,5001 to 10000 Employees,Investment & Asset Management,1.1T,1.1T,--,"Indore, MP"
2708,Acuity Knowledge Partners,3.8,1001 to 5000 Employees,Research & Development,1.1T,1.2T,73,8 office locations
2709,Shadowfax Technologies,4.2,51 to 200 Employees,N/A,1.3T,1T,--,"Bengaluru, KA"
2710,G4S,3.5,10000+ Employees,Security & Protective,4.4T,208,1.1T,12 office locations
2711,Stefanini,3.8,10000+ Employees,Enterprise Software & Network Solutions,6.8T,134,607,27 office locations
2712,Team Computers,4.0,1001 to 5000 Employees,Information Technology Support Services,1.1T,689,43,6 office locations
2713,KLA,4.1,5001 to 10000 Employees,Machinery Manufacturing,1.7T,308,549,16 office locations
2714,CMA CGM,3.7,10000+ Employees,Shipping & Trucking,2T,491,253,10 office locations
2715,Max Life Insurance,4.1,10000+ Employees,Insurance Carriers,1T,971,32,12 office locations
2716,Boston Scientific,4.2,10000+ Employees,Health Care Products Manufacturing,5.3T,156,758,29 office locations
2717,IIT Madras,4.5,501 to 1000 Employees,Colleges & Universities,1.1T,1.2T,--,"Headquarters in Chennai, India"
2718,Wipro Digital,3.7,5001 to 10000 Employees,Information Technology Support Services,1.1T,1.1T,3.3T,"Headquarters in Brooklyn, United States"
2719,Indian Institute of Technology Bombay,4.5,501 to 1000 Employees,Colleges & Universities,1.2T,1.1T,--,"Headquarters in Mumbai, India"
2720,VVDN Technologies ,3.5,1001 to 5000 Employees,Information Technology Support Services,928,1.2T,2,16 office locations
2721,Teamware Solutions,4.5,1001 to 5000 Employees,Information Technology Support Services,1.5T,780,85,"Headquarters in Chennai, India"
2722,IIFL,3.9,10000+ Employees,Banking & Lending,1.2T,1T,3,3 office locations
2723,ManpowerGroup,3.8,10000+ Employees,HR Consulting,3T,299,48.3T,28 office locations
2724,Yodlee,3.6,1001 to 5000 Employees,Computer Hardware Development,926,772,39,2 office locations
2725,Toyota Motor Corporation,4.0,10000+ Employees,Transportation Equipment Manufacturing,2.9T,231,2.6T,8 office locations
2726,KONE,4.1,10000+ Employees,Commercial Equipment Services,2T,473,758,29 office locations
2727,Encora,4.2,5001 to 10000 Employees,Information Technology Support Services,1.6T,380,56,38 office locations
2728,MongoDB,4.3,1001 to 5000 Employees,Enterprise Software & Network Solutions,2T,238,221,12 office locations
2729,Dun & Bradstreet,3.9,5001 to 10000 Employees,Information Technology Support Services,2.2T,319,197,30 office locations
2730,Palo Alto Networks,4.1,10000+ Employees,Enterprise Software & Network Solutions,2.2T,255,1.2T,13 office locations
2731,Refinitiv,3.7,10000+ Employees,Computer Hardware Development,1.9T,482,712,10 office locations
2732,Ericsson India Global services Pvt. Ltd.,4.2,10000+ Employees,N/A,1T,1.3T,--,"Headquarters in Stockholm, Sweden"
2733,Fresherworld.com,4.0,201 to 500 Employees,Film Production,616,1.8T,--,"Headquarters in Bengaluru, India"
2734,Bechtel,4.1,10000+ Employees,Architectural & Engineering Services,2.4T,273,552,31 office locations
2735,Booking.com,4.1,10000+ Employees,Internet & Web Services,7.9T,74,253,26 office locations
2736,InMobi,3.8,1001 to 5000 Employees,Internet & Web Services,962,1T,4,3 office locations
2737,Apisero,4.3,1001 to 5000 Employees,Information Technology Support Services,822,913,--,12 office locations
2738,Icertis,3.5,1001 to 5000 Employees,Enterprise Software & Network Solutions,909,653,106,2 office locations
2739,TCS,3.9,1 to 50 Employees,N/A,8.4T,9.6T,--,"Headquarters in Leingarten, Germany"
2740,UST,3.9,10000+ Employees,Information Technology Support Services,8.2T,5.6T,345,49 office locations
2741,Fidelity Investments,4.3,10000+ Employees,Investment & Asset Management,16.1T,2.7T,631,15 office locations
2742,VMware,4.5,10000+ Employees,Enterprise Software & Network Solutions,12.1T,3.8T,78,46 office locations
2743,Virtusa,3.7,10000+ Employees,Information Technology Support Services,9.1T,6.9T,1.1T,28 office locations
2744,Vodafone,3.9,10000+ Employees,Telecommunications Services,17.3T,3.1T,4.6T,4 office locations
2745,HDFC Bank,3.5,10000+ Employees,Banking & Lending,8.5T,10T,9.1T,6 office locations
2746,Cerner,3.5,10000+ Employees,Computer Hardware Development,10.3T,3.9T,37,25 office locations
2747,GE,4.0,10000+ Employees,Machinery Manufacturing,19.1T,2.4T,2T,37 office locations
2748,Optum,3.6,10000+ Employees,Healthcare Services & Hospitals,11.3T,4.8T,3.1T,8 office locations
2749,Chubb,3.7,10000+ Employees,Insurance Carriers,3.7T,180,1.1T,23 office locations
2750,Indian Institute of Science,4.5,201 to 500 Employees,Colleges & Universities,1.2T,1.1T,--,"Headquarters in Bengaluru, India"
2751,Empower,4.1,10000+ Employees,Investment & Asset Management,1.7T,428,66,6 office locations
2752,Scientific Games,3.7,5001 to 10000 Employees,Computer Hardware Development,1.3T,527,39,13 office locations
2753,MathCo,3.5,1001 to 5000 Employees,Business Consulting,726,938,5,3 office locations
2754,Symphony Teleca,3.6,1001 to 5000 Employees,Information Technology Support Services,1.1T,713,594,3 office locations
2755,Hays,3.5,5001 to 10000 Employees,HR Consulting,6.6T,78,31.5T,35 office locations
2756,Delta Air Lines,4.2,10000+ Employees,"Airlines, Airports & Air Transportation",7.7T,78,73,29 office locations
2757,Sage,4.0,10000+ Employees,Enterprise Software & Network Solutions,5.3T,173,117,18 office locations
2758,Exela Technologies,3.8,10000+ Employees,Information Technology Support Services,1.4T,536,97,32 office locations
2759,Hindustan Petroleum,4.1,10000+ Employees,Metal & Mineral Manufacturing,979,1.1T,--,"Headquarters in Mumbai, India"
2760,MetricStream,3.6,1001 to 5000 Employees,Enterprise Software & Network Solutions,888,784,4,4 office locations
2761,Samsung India Electronics,3.7,1001 to 5000 Employees,Consumer Product Manufacturing,1.1T,1T,--,"Headquarters in New Delhi, India"
2762,iOPEX Technologies,4.0,1001 to 5000 Employees,Enterprise Software & Network Solutions,940,735,29,2 office locations
2763,GeBBS Healthcare Solutions,4.4,10000+ Employees,Healthcare Services & Hospitals,1.2T,1T,21,"Los Angeles, CA"
2764,BMW Group,4.1,10000+ Employees,Transportation Equipment Manufacturing,5.5T,145,1.3T,29 office locations
2765,Ramco Systems,3.6,1001 to 5000 Employees,Enterprise Software & Network Solutions,1.1T,934,10,"64, Sardar Patel Rd, Sriram Nagar, Chennai, Tamil Nadu  "
2766,Gap Inc.,3.7,10000+ Employees,"Department, Clothing & Shoe Stores",2.6T,256,247,"Headquarters in San Francisco, United States"
2767,American Express Global Business Travel,4.0,10000+ Employees,Travel Agencies,2T,395,117,21 office locations
2768,Biocon,3.7,10000+ Employees,Biotech & Pharmaceuticals,1.1T,944,--,"20th KM, Hosur Road, Electronic City,  "
2769,Xebia,3.6,5001 to 10000 Employees,Information Technology Support Services,982,938,99,21 office locations
2770,Huron Consulting Group,4.0,5001 to 10000 Employees,Business Consulting,1.7T,280,146,19 office locations
2771,Fortinet,4.2,10000+ Employees,Computer Hardware Development,2.4T,170,505,27 office locations
2772,CSG,4.4,5001 to 10000 Employees,Enterprise Software & Network Solutions,1.3T,581,89,30 office locations
2773,Epicor Software,4.1,1001 to 5000 Employees,Software Development,2T,338,189,25 office locations
2774,DENSO,3.7,10000+ Employees,Transportation Equipment Manufacturing,2.5T,291,1.1T,11 office locations
2775,Arcesium,4.0,1001 to 5000 Employees,Information Technology Support Services,711,942,36,5 office locations
2776,GlobalFoundries,3.5,10000+ Employees,Electronics Manufacturing,3.2T,179,260,9 office locations
2777,Lear Corporation,3.9,10000+ Employees,Transportation Equipment Manufacturing,3T,249,416,23 office locations
2778,Whatfix,3.8,501 to 1000 Employees,Internet & Web Services,487,641,41,7 office locations
2779,Compunnel,4.3,1001 to 5000 Employees,Information Technology Support Services,697,270,1,21 office locations
2780,Landmark Group,3.8,10000+ Employees,"Department, Clothing & Shoe Stores",1.6T,600,29,"Headquarters in Dubai, United Arab Emirates"
2781,CapitalVia,4.3,201 to 500 Employees,Research & Development,1.2T,460,9,3 office locations
2782,PowerSchool Group,3.9,1001 to 5000 Employees,Enterprise Software & Network Solutions,1T,482,63,8 office locations
2783,Jaguar Land Rover,3.9,10000+ Employees,Consumer Product Manufacturing,3.8T,160,477,12 office locations
2784,Virtual Employee,3.8,1001 to 5000 Employees,HR Consulting,766,1.1T,--,6 office locations
2785,Softtek,4.0,10000+ Employees,Information Technology Support Services,3.2T,277,81,2 office locations
2786,Carrier,3.7,10000+ Employees,Machinery Manufacturing,2.2T,308,1.6T,21 office locations
2787,Tata,4.1,10000+ Employees,Architectural & Engineering Services,1.2T,826,14,"Bengaluru, KA"
2788,Quest Global,3.7,10000+ Employees,Information Technology Support Services,3.8T,2.7T,1.9T,6 office locations
2789,Bentley Systems,4.0,1001 to 5000 Employees,Software Development,1.3T,362,142,17 office locations
2790,Orion Innovation,3.9,5001 to 10000 Employees,Information Technology Support Services,836,553,104,12 office locations
2791,Colliers,3.9,10000+ Employees,Real Estate,2.6T,295,829,5 office locations
2792,Titan Company,4.1,5001 to 10000 Employees,Consumer Product Manufacturing,913,925,89,5 office locations
2793,Fareportal,3.7,1001 to 5000 Employees,Travel Agencies,1.1T,671,--,6 office locations
2794,American Automobile Association (AAA),3.5,501 to 1000 Employees,Taxi & Car Services,3.7T,232,393,38 office locations
2795,TVS Motor Company,3.9,1001 to 5000 Employees,Transportation Equipment Manufacturing,903,1.1T,139,4 office locations
2796,AkzoNobel,3.9,10000+ Employees,Consumer Product Manufacturing,2.6T,231,622,29 office locations
2797,Alcon,3.8,10000+ Employees,Biotech & Pharmaceuticals,2.7T,187,459,16 office locations
2798,Vedanta Resources,3.5,10000+ Employees,Mining & Metals,926,887,5,"Headquarters in London, United Kingdom"
2799,Altair Engineering,4.2,1001 to 5000 Employees,Software Development,960,470,442,65 office locations
2800,Torry Harris Integration Solutions,4.0,1001 to 5000 Employees,Information Technology Support Services,959,746,--,9 office locations
2801,QualityKiosk,3.6,1001 to 5000 Employees,Information Technology Support Services,915,867,46,7 office locations
2802,Mitsubishi,3.9,10000+ Employees,Machinery Manufacturing,2.6T,243,5T,"Headquarters in Tokyo, Japan"
2803,MarketsandMarkets,3.5,1001 to 5000 Employees,Research & Development,911,869,--,"Pune, MH"
2804,Commvault,3.9,1001 to 5000 Employees,Enterprise Software & Network Solutions,1.1T,455,33,14 office locations
2805,Defence Research & Development Organisation,4.3,5001 to 10000 Employees,National Services & Agencies,1.2T,756,--,"Headquarters in New Delhi, India"
2806,iNautix Technologies,3.7,1001 to 5000 Employees,Information Technology Support Services,975,761,--,"Chennai, TN"
2807,Kohler Co.,4.0,10000+ Employees,Consumer Product Manufacturing,1.7T,312,572,15 office locations
2808,Robosoft Technologies,4.2,1001 to 5000 Employees,Information Technology Support Services,817,683,19,11 office locations
2809,UPL,4.2,10000+ Employees,Farm Support Services,1.2T,601,113,55 office locations
2810,TomTom,4.0,5001 to 10000 Employees,Enterprise Software & Network Solutions,1.3T,331,40,12 office locations
2811,Great Learning,4.1,1001 to 5000 Employees,Education Support & Training Services,934,1T,9,5 office locations
2812,Insight Global,3.8,1001 to 5000 Employees,HR Consulting,11.9T,88,825,69 office locations
2813,British Airways,3.5,10000+ Employees,"Airlines, Airports & Air Transportation",3.2T,171,88,12 office locations
2814,Skill-Lync,3.5,1001 to 5000 Employees,Colleges & Universities,709,850,3,6 office locations
2815,Teach For India,3.7,201 to 500 Employees,Education Support & Training Services,842,1T,56,7 office locations
2816,Koch Industries,3.7,1001 to 5000 Employees,Energy & Utilities,1.7T,294,544,13 office locations
2817,Ramboll,4.1,10000+ Employees,Construction,1.3T,464,1.4T,14 office locations
2818,emids,3.7,1001 to 5000 Employees,Information Technology Support Services,839,729,67,2 office locations
2819,GS Lab,3.8,1001 to 5000 Employees,Enterprise Software & Network Solutions,892,874,--,"Pune, MH"
2820,Trimble,4.1,10000+ Employees,Computer Hardware Development,1.4T,379,148,24 office locations
2821,Elsevier,4.5,5001 to 10000 Employees,Publishing,2T,199,158,28 office locations
2822,Guardian Life,3.7,5001 to 10000 Employees,Insurance Carriers,1.5T,401,66,6 office locations
