,company_names,rating_new,employer_size,industry,review,salaries,jobs,location
176,Extreme Networks,4.1,1001 to 5000 Employees,Enterprise Software & Network Solutions,1T,211,43,6 office locations
177,Next Education India,3.6,1001 to 5000 Employees,Primary & Secondary Schools,623,538,66,"Headquarters in Hyderābād, India"
178,Weatherford,3.7,10000+ Employees,Energy & Utilities,2.6T,94,732,33 office locations
179,Capillary Technologies,4.1,501 to 1000 Employees,Enterprise Software & Network Solutions,570,564,10,"Bengaluru, KA"
180,Ideas2IT,4.2,501 to 1000 Employees,Information Technology Support Services,510,506,9,3 office locations
181,Maxim Healthcare Services,3.5,10000+ Employees,Healthcare Services & Hospitals,4.9T,86,2T,25 office locations
182,Gensler,3.9,5001 to 10000 Employees,Architectural & Engineering Services,2.3T,74,269,53 office locations
183,yellow.ai,3.8,501 to 1000 Employees,Enterprise Software & Network Solutions,532,545,--,6 office locations
184,BlackBuck,3.5,1001 to 5000 Employees,Shipping & Trucking,560,619,10,"Bengaluru, KA"
185,AtkinsRéalis,4.0,10000+ Employees,Construction,2.2T,125,1.8T,194 office locations
186,Pidilite,4.2,5001 to 10000 Employees,Chemical Manufacturing,623,625,24,"Ramkrishna Mandir Road, Off Sir Mathuradas Vasanji Road,, Andheri (East), Mumbai, Maharashtra  "
187,Tally Solutions,4.5,501 to 1000 Employees,Computer Hardware Development,538,551,27,3 office locations
188,Corteva Agriscience,4.1,10000+ Employees,Farm Support Services,1.5T,166,342,12 office locations
189,GlobalStep,4.0,1001 to 5000 Employees,Information Technology Support Services,683,429,8,4 office locations
190,Alvarez & Marsal,4.1,5001 to 10000 Employees,Business Consulting,1.7T,148,1.2T,31 office locations
191,Glenmark,3.7,201 to 500 Employees,Pharmaceutical,673,462,17,3 office locations
192,SAP Concur,4.3,1001 to 5000 Employees,Computer Hardware Development,1.3T,146,--,7 office locations
193,Harbinger Group,4.3,501 to 1000 Employees,Information Technology Support Services,505,403,10,5 office locations
194,US Department of Veterans Affairs,3.7,10000+ Employees,National Services & Agencies,9.6T,46,4.4T,25 office locations
195,First Advantage,3.6,1001 to 5000 Employees,HR Consulting,906,309,26,28 office locations
196,Aruba Networks,4.1,5001 to 10000 Employees,Enterprise Software & Network Solutions,761,290,1.1T,14 office locations
197,GE Capital,3.9,1001 to 5000 Employees,Investment & Asset Management,1.9T,102,1,25 office locations
198,Steel Authority of India,3.8,10000+ Employees,Metal & Mineral Manufacturing,624,550,--,"Headquarters in New Delhi, India"
199,redBus India,4.3,501 to 1000 Employees,Internet & Web Services,622,486,27,4 office locations
200,Punjab National Bank,3.9,10000+ Employees,Banking & Lending,606,647,--,"Headquarters in New Delhi, India"
201,Numerator,4.2,1001 to 5000 Employees,Internet & Web Services,623,371,17,5 office locations
202,edureka!,4.0,201 to 500 Employees,Education Support & Training Services,505,452,7,"Bengaluru, KA"
203,Cellular Sales,3.8,5001 to 10000 Employees,"Cable, Internet & Telephone Providers",3.2T,146,759,25 office locations
204,Booz Allen Hamilton,4.2,10000+ Employees,Business Consulting,9T,42,4.1T,25 office locations
205,CohnReznick,4.0,1001 to 5000 Employees,Accounting & Tax,1.3T,150,180,30 office locations
206,Sokrati,3.5,501 to 1000 Employees,Advertising & Public Relations,419,501,2,Baner 
207,Tata Advanced Systems,3.8,1001 to 5000 Employees,Aerospace & Defence,475,568,--,6 office locations
208,Crest Data Systems,3.8,51 to 200 Employees,N/A,392,711,20,"Ahmedabad, GJ"
209,Kiya.ai,4.2,1001 to 5000 Employees,Investment & Asset Management,771,420,8,"Headquarters in Mumbai, India"
210,Insight,3.8,10000+ Employees,Enterprise Software & Network Solutions,2.7T,73,207,25 office locations
211,DBOI Global Services,3.9,10000+ Employees,Investment & Asset Management,562,557,30,"Headquarters in Frankfurt am Main, Germany"
212,"Infovision, Inc.",4.3,1001 to 5000 Employees,Information Technology Support Services,533,218,--,13 office locations
213,Appirio,3.7,1001 to 5000 Employees,Business Consulting,618,171,3.3T,10 office locations
214,Ernst & Young,3.8,1001 to 5000 Employees,N/A,760,402,--,"Headquarters in Stockholm, Sweden"
215,Nisum,3.8,501 to 1000 Employees,Information Technology Support Services,784,235,191,5 office locations
216,Allianz Partners,3.8,10000+ Employees,Insurance Carriers,1.8T,126,4,14 office locations
217,YouTube,4.4,1001 to 5000 Employees,Internet & Web Services,1.5T,195,21,7 office locations
218,Student Works,4.2,501 to 1000 Employees,Construction,705,500,3,2 office locations
219,Mobile Programming,3.5,1001 to 5000 Employees,Computer Hardware Development,560,476,117,18 office locations
220,QA InfoTech,3.6,201 to 500 Employees,Computer Hardware Development,535,454,--,4 office locations
221,SRM Institute of Science and Technology,3.9,10000+ Employees,Colleges & Universities,611,555,61,"Chennai, TN"
222,Motilal Oswal Securities,3.5,1001 to 5000 Employees,Investment & Asset Management,618,547,9,3 office locations
223,Vertiv,3.5,10000+ Employees,Information Technology Support Services,1.1T,172,712,10 office locations
224,Bacancy,3.8,501 to 1000 Employees,Information Technology Support Services,743,473,1,"Headquarters in Ahmedabad, India"
225,EagleView,3.6,1001 to 5000 Employees,Information Technology Support Services,496,328,4,4 office locations
226,Rahul Infotech,3.9,51 to 200 Employees,Computer Hardware Development,488,671,--,"Headquarters in Thāne, India"
227,Knight Frank,3.7,10000+ Employees,Real Estate,1.1T,211,260,9 office locations
228,WPP,3.6,10000+ Employees,Advertising & Public Relations,1.7T,110,95,2 office locations
229,InfoBeans,4.0,501 to 1000 Employees,Information Technology Support Services,529,431,26,7 office locations
230,ABB,4.0,10000+ Employees,Electronics Manufacturing,9.8T,2.2T,3.3T,19 office locations
231,Infosys BPM,3.5,10000+ Employees,HR Consulting,6T,5.1T,2.4T,6 office locations
232,Zoho,4.5,201 to 500 Employees,Computer Hardware Development,4.2T,4.9T,64,"4141 Hacienda Dr Pleasanton, California, 94588-8566, United States"
233,State Street,3.5,10000+ Employees,Investment & Asset Management,9.7T,2T,776,26 office locations
234,Mu Sigma,3.5,1001 to 5000 Employees,Business Consulting,4.3T,4.8T,--,3 office locations
235,Sopra Steria,3.8,10000+ Employees,Information Technology Support Services,7.3T,2.5T,1.8T,26 office locations
236,TaskUs,4.4,10000+ Employees,Information Technology Support Services,15.5T,1.2T,419,27 office locations
237,Jones Lang LaSalle,3.9,10000+ Employees,Real Estate,11.1T,1.8T,3.8T,36 office locations
238,WhiteHat Jr,3.5,5001 to 10000 Employees,Education Support & Training Services,5.8T,5.3T,--,"Headquarters in Mumbai, India"
239,Boston Consulting Group,3.9,10000+ Employees,Business Consulting,8.9T,1.8T,1.9T,104 office locations
240,Nasdaq,4.1,1001 to 5000 Employees,Stock Exchanges,1.2T,133,277,17 office locations
241,RateGain,4.0,501 to 1000 Employees,Software Development,510,290,75,6 office locations
242,Lennox International,3.9,501 to 1000 Employees,Consumer Product Manufacturing,963,178,651,20 office locations
243,Unemployed Help Centre,3.8,1 to 50 Employees,Machinery Manufacturing,878,310,49,"Headquarters in Windsor, Canada"
244,Fossil Group,3.8,10000+ Employees,Beauty & Personal Accessories Stores,2.3T,117,88,3 office locations
245,SirionLabs,4.2,501 to 1000 Employees,Computer Hardware Development,475,506,--,4 office locations
246,Brocade,3.5,5001 to 10000 Employees,Enterprise Software & Network Solutions,911,133,--,"Headquarters in San Jose, United States"
247,Born Group,4.0,1001 to 5000 Employees,Internet & Web Services,552,383,32,8 office locations
248,Crimson Interactive,3.8,201 to 500 Employees,Business Consulting,522,361,87,6 office locations
249,Vivo (Telefônica Brasil),4.5,10000+ Employees,Telecommunications Services,11.6T,33,511,27 office locations
